Country,Product Name,FNSKU,Merchant SKU,ASIN,Condition,Supplier,Supplier part no.,Currency code,Price,Sales last 30 days,Units Sold Last 30 Days,Total Units,Inbound,Available,FC transfer,FC Processing,Customer Order,Unfulfillable,Working,Shipped,Receiving,Fulfilled by,Total Days of Supply (including units from open shipments),Days of Supply at Amazon Fulfillment Network,Alert,Recommended replenishment qty,Recommended ship date,Unit storage size
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Navy Blue-S£©,X001X55MYN,AN-4006-Navy Blue-S-CD-DE,B0CPPYPSXJ,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,"Anelune Mens Summer Shorts with Pockets Casual Elasticated Waist Jogger Shorts - Men's Linen Bermuda Shorts Suitable for Beach Party, Travel and Leisure with£¨Light Gray-L£©",X001X51QOD,AN-4006-Light Gray-L-CD-DE,B0CPQ13MD7,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Khaki-3XL£©,X001X55N01,AN-4006-Khaki-3XL-CD-DE,B0CPQ1MNH4,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,"Anelune Mens Summer Shorts with Pockets Casual Elasticated Waist Jogger Shorts - Men's Linen Bermuda Shorts Suitable for Beach Party, Travel and Leisure with£¨Light Blue-XL£©",X001X4VJJ1,AN-4006-Light Blue-XL-CD-DE,B0CPPWYNXM,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Black,X001X51Z67,AN-113-Black-S-CD-DE,B0CPQ2WN17,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Black-XL£©,X001X4VJQT,AN-4006-Black-XL-CD-DE,B0CPQ13ZMF,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,ANELUNE Women's Casual Dress Long Sleeve Round Neck Maxi Size Dress Gorgeous Loose Long Dresses with Pockets Black,X001XFXCTP,AN1004-Long sleeve Black-M-2,B0CPT278V4,New,--,,GBP,36.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0659 ft3
GB,ANELUNE Women's Casual Dress Long Sleeve Round Neck Maxi Size Dress Gorgeous Loose Long Dresses with Pockets Dark Green,X001XFXEIT,AN1004-Long sleeve Dark green-S-2,B0CPT41JYW,New,--,,GBP,36.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0659 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops,X001X51YFT,AN-113-Flower Wine Red-L-CD-DE,B0CPPZC8N9,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Navy Blue-M£©,X001X51M0L,AN-4006-Navy Blue-M-CD-DE,B0CPQ2JQN7,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
